POINTS,FIRST_NAME,LAST_NAME,GENDER,TEAM
110,Bryan,Schoeffler,M,SUBARU- Plan X
110,Maxwell,Robb,M,United Healthcare GA p/b The 706 Project
110,John,Grant,M,Texas Roadhouse Cycling Team
110,Ryan,Mele,M,Stan's NoTubes p/b Proferrin
110,Joe,Eldridge,M,Novo Nordisk
107,Zack,Allison,M,Think Finance p/b Trek Bicycle Store
107,Luke,Servedio,M,Sonic Cycling
107,Kyle,Wamsley,M,Jamis Hagens Berman p/b Sutter Home
104,Chris,Baldwin,M,BISSELL Pro Cycling
104,Matt,Green,M,Astellas Oncology
101,Greg,Ratzell,M,D3 Devo
101,pat,lemieux,M,Texas Roadhouse Cycling Team
100,Nick,Keough,M,CRCA/Foundation
100,Scott,Cugno,M,Pioneer Mortgage Funding presented by www.yourkey.com
100,Johnny,Mitchell,M,Finish Strong Elite Cycling Team
98,Tommy,Nankervis,M,BISSELL Pro Cycling
96,David,Cueli,M,EBP
95,Gabe,Varela,M,Jamis Hagens Berman p/b Sutter Home
95,Neil,Brezdek,M,CRCA/Foundation
89,Drew,Christopher,M,Primal p/b McDonald Audi
89,Adam,Myerson,M,Team SmartStop-Mountain Khakis
88,Chad,Beyer,M,Champion System p/b Stan's NoTubes
86,Michael,York,M,
86,Todd,Wells,M,Specialized Factory Racing
84,Marsh,Cooper,M,Optum p/b Kelly Benefit Strategies
84,John,Murphy,M,United HealthCare Pro Cycling
83,David,Worth,M,Cumberland Transit Cycling/FS Cycling
80,Marc,Williams,M,Athletix Cycling Team Benefiting Globalbike
80,Jeanmichel,Lachance,M,Predator Cycling Carbon Repair
77,Derek,Schanze,M,Gearlink Racing
74,Gevan,Samuel,M,Team Predator Carbon Repair
72,Jose,Frank rodriguez,M,EBP
71,Chris,Harkey,M,VeloShine Cycling Team
68,Justin,Williams,M,CashCall Mortgage
67,Ed,Veal,M,Real Deal/Gears
66,Barry,Miller,M,Firefighters Cycling Team
65,Pete,Morris,M,Team Clif Bar Cycling
62,Anton,Varabei,M,JetFuel Coffee/ Norco Bicycles
62,Matthew,Howe,M,Happy Tooth Racing
60,Michael,Midlarsky,M,UCI CT:  Ekoi/Devinci Pro Cycling
60,Billy,Jones,M,ISCORP RACING INTELLIGENTSIA COFFEE
60,Dakota,Schaeffer,M,D3 Devo
60,George,W. Cyrus,M,Landis/Trek
60,sergio,Escutia,M,Mexico
60,Garrett,Suydam,M,Primal p/b McDonald Audi
60,Jackie,Simes,M,Team SmartStop-Mountain Khakis
60,Steven,Muhle,M,Athlete Octane
60,Mike,Friedman,M,Optum p/b Kelly Benefit Strategies
60,Benjamin,Swedberg,M,California Giant / Specialized
60,Paul,Thomas,M,Landis/Trek
60,Craig,Streit,M,Body by Vi p/b VeloVie
60,Brian,McCulloch,M,CashCall Mortgage
60,Nicholaus,Schreiber,M,Landis/Trek
60,Brian,Forbes,M,Body by Vi p/b VeloVie
60,john,salskov,M,TRU Composites
60,Victor,Riquelme,M,Body by Vi p/b VeloVie
60,John,(Jackie) Simes,M,Team SmartStop-Mountain Khakis
60,Jonathan,Parrish,M,Athlete Octane
60,Andrew,McCullough,M,Mt Borah / Minerva Design p/b Basso
60,Cameron,Rex,M,Gateway Harley-Davidson/Trek U23
60,Mac,Cassin,M,Gateway Harley-Davidson/Trek U23
60,Russell,Brandon,M,Team Novo Nordisk
60,David,Benkoski,M,Team Clif Bar Cycling
60,Luis,Lemus,M,Jelly Belly presented by Kenda
60,Brian,Cornelius,M,Julie Bar
60,Travis,Samuel,M,JetFuel Coffee/ Norco Bicycles
60,Brian,Toone,M,FGS Cycling
60,Samuel,Gevan,M,Team Predator Carbon Repair
60,Aaron,Perry,M,Novo Nordisk
60,Issaac,Strickler,M,Beck Cycling
60,Sam,Croft,M,Giant Bicycles-SOUTH
60,Bryan,Fawley,M,Giant Bicycles-SOUTH
60,Eugene,Boronow,M,GS Mengoni USA
60,AJ,Meyer,M,Village Volkswagen Elite Cycling Team
60,KENNETH,NG,M,REAL DEAL RACING p/b Gears
60,Johnny,Sundt,M,Giant Bicycles-SOUTH
60,Andy,Reardon,M,Cumberland Transit Cycling
60,Daniel,Chabanov,M,CRCA/Foundation
60,Mark,Babcock,M,Atlanta Cycling Racing p/b New England Financial
60,Matthew,Whatley,M,Atlanta Cycling Racing PB New England Financial
60,patrick,harkins,M,cumberland transit cycling
60,Richard,Bailey,M,Finish Strong Elite Cyling Team
60,josh,oxendine,M,earthfare
60,matthew,russell,M,Village Volkswagen Elite cycling team
60,Michael,Mandel,M,RealDeal/Gears p/b Fieldgate
60,Ian,Moir,M,Optum p/b Kelly Benefit Strategies
60,Marcos,Mazzola Lazzarotto,M,INTEGRATED SPORTS MEDICINE
60,Isaiah,Newkirk,M,Gateway Harley-Davidson/Trek U23
60,Cal,Hooten,M,
50,Daniel,Eaton,M,Gateway Harley-Davidson/Trek U23
50,Roman,Morozov,M,COOL BEANS RACING
50,Dan,Valdes,M,COOL BEANS RACING
50,Carlos,Norena,M,Finish Strong Elite Cycling Team
50,Jorge,Moreno,M,P&S-Specialized
50,Will,Willis,M,The Fit Lab
50,Evan,Wynn,M,EarthFare Cycling
50,Roy,Pickavance,M,n/a
50,Erik,Broo,M,Happy Tooth Racing
50,David,Monismith,M,Gearlink Racing
50,Ashton,Hulscher,M,COOL BEANS RACING
50,David,Forkner,M,Globalbike
50,Yip,Tsang,M,Bike Street Racing
50,Sean,Weddell,M,High Country Development Team
50,Anthony,Walsh,M,Astellas Oncology
50,Winston,David,M,United Healthcare GA p/b The 706 Project
50,Todd,Farrell,M,Think Finance p/b Trek Bicycle Store
50,Jacob,Rytlewski,M,Astellas Oncology
50,Michael,Creed,M,Optum p/b Kelly Benefit Strategies
50,Eric,Workowski,M,Alliance Environmental
50,Jared,Gilyard,M,Julie Bar
50,Patrick,Kos,M,Alliance Envrionmental
50,Rob,Alvarez,M,Body by Vi p/b VeloVie
